0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.348,4.544,0
3.552,4.544,0
4.756,4.544,0
5.960,4.544,0
7.165,4.544,0
8.283,4.544,0
2.348,3.447,0
3.552,3.447,0
4.756,3.447,0
5.960,3.447,0
7.165,3.447,0
8.283,3.447,0
-2.383,2.266,0
-1.265,2.266,0
-0.060,2.266,0
1.144,2.266,0
2.348,2.266,0
3.552,2.266,0
4.756,2.266,0
5.960,2.266,0
7.165,2.266,0
8.283,2.266,0
-2.383,1.084,0
-1.265,1.084,0
-0.060,1.084,0
1.144,1.084,0
2.348,1.084,0
3.552,1.084,0
4.756,1.084,0
5.960,1.084,0
7.165,1.084,0
8.283,1.084,0
-2.383,-0.097,0
-1.265,-0.097,0
-0.060,-0.097,0
1.144,-0.097,0
2.348,-0.097,0
3.552,-0.097,0
4.756,-0.097,0
5.960,-0.097,0
7.165,-0.097,0
8.283,-0.097,0
-2.383,-1.194,0
-1.265,-1.194,0
-0.060,-1.194,0
1.144,-1.194,0
2.348,-1.194,0
3.552,-1.194,0
4.756,-1.194,0
5.960,-1.194,0
7.165,-1.194,0
8.283,-1.194,0
